image_id,source,original_dataset,image_path
runway_fashion_runway_images_refined_86968_jpg.rf.9dc118bf0614203b5e26a955a3dde8f5,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/86968_jpg.rf.9dc118bf0614203b5e26a955a3dde8f5.jpg
runway_fashion_runway_images_refined_87313_jpg.rf.6a9b3a919abe03867c48cf328553d0a6,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/87313_jpg.rf.6a9b3a919abe03867c48cf328553d0a6.jpg
runway_fashion_runway_images_refined_87168_jpg.rf.ad51fe2aa7bacca06a8a9b7f4d120025,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/87168_jpg.rf.ad51fe2aa7bacca06a8a9b7f4d120025.jpg
runway_fashion_runway_images_refined_8530_jpg.rf.e71bba17078482e0e3abd837b8ffa27c,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/8530_jpg.rf.e71bba17078482e0e3abd837b8ffa27c.jpg
runway_fashion_runway_images_refined_15535_jpg.rf.3cc99910a19f0ab110d091239778865b,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/15535_jpg.rf.3cc99910a19f0ab110d091239778865b.jpg
runway_fashion_runway_images_refined_15290_jpg.rf.6eef8cb560c5541ff049a2bd019b5c55,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/15290_jpg.rf.6eef8cb560c5541ff049a2bd019b5c55.jpg
runway_fashion_runway_images_refined_22134_jpg.rf.6a4b1ac7e6cab183f0cd2bb692289dfb,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/22134_jpg.rf.6a4b1ac7e6cab183f0cd2bb692289dfb.jpg
runway_fashion_runway_images_refined_86447_jpg.rf.dda2571452ac3825b7873e474c00d798,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/86447_jpg.rf.dda2571452ac3825b7873e474c00d798.jpg
runway_fashion_runway_images_refined_15871_jpg.rf.0ed01fd7dcb768f0dfdf5cea3f9e7714,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/15871_jpg.rf.0ed01fd7dcb768f0dfdf5cea3f9e7714.jpg
runway_fashion_runway_images_refined_86856_jpg.rf.84d5841c2eca54bbee9435dc0316efdc,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/86856_jpg.rf.84d5841c2eca54bbee9435dc0316efdc.jpg
runway_fashion_runway_images_refined_87343_jpg.rf.d302e4bb9b25c7838bbe8cedb6d36c3a,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/87343_jpg.rf.d302e4bb9b25c7838bbe8cedb6d36c3a.jpg
runway_fashion_runway_images_refined_15936_jpg.rf.7414ba0dfab8029c47509c74634ea377,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/15936_jpg.rf.7414ba0dfab8029c47509c74634ea377.jpg
runway_fashion_runway_images_refined_86730_jpg.rf.001520ab407c0e7603add5569cb2af33,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/86730_jpg.rf.001520ab407c0e7603add5569cb2af33.jpg
runway_fashion_runway_images_refined_87542_jpg.rf.1891a067fe4c3d27cfeefdd45dc5e3db,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/87542_jpg.rf.1891a067fe4c3d27cfeefdd45dc5e3db.jpg
runway_fashion_runway_images_refined_87023_jpg.rf.b5537148fe61cbcaa305820b0d21302f,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/87023_jpg.rf.b5537148fe61cbcaa305820b0d21302f.jpg
runway_fashion_runway_images_refined_86833_jpg.rf.7467c9580ba0dfbb288bd634eccf5b77,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/86833_jpg.rf.7467c9580ba0dfbb288bd634eccf5b77.jpg
runway_fashion_runway_images_refined_87073_jpg.rf.8afcfb5f629a7966241a26eaf46e37e5,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/87073_jpg.rf.8afcfb5f629a7966241a26eaf46e37e5.jpg
runway_fashion_runway_images_refined_15305_jpg.rf.0bc34040276fdea914f9d1e2f0d081fe,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/15305_jpg.rf.0bc34040276fdea914f9d1e2f0d081fe.jpg
runway_fashion_runway_images_refined_22100_jpg.rf.8ad62f68c107113cc369c4f510559ca9,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/22100_jpg.rf.8ad62f68c107113cc369c4f510559ca9.jpg
runway_fashion_runway_images_refined_8532_jpg.rf.708b0e6d96ffbb676a4a62b9bae29f4c,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/8532_jpg.rf.708b0e6d96ffbb676a4a62b9bae29f4c.jpg
runway_fashion_runway_images_refined_16262_jpg.rf.fc1144018e754ae7fa160b2d0f1aefbb,runway,fashion_runway_images_refined,data/runway/fashion_runway_images_refined/valid/16262_jpg.rf.fc1144018e754ae7fa160b2d0f1aefbb.jpg
